,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,average_tweets_per_day,account_age_days,description_missing,location_unknown,language_missing,description_length,description_word_count,description_mention_count,description_hashtag_count,description_digit_count,description_exclamation_count,screen_name_length,screen_name_digit_count,screen_name_underscore_count,true_label,screen_name,twitter_id
18756,1,0,7060,158,114,1,4688,0,2.036,2303,1,1,1,0,0,0,0,0,0,9,2,0,human,Skelets74,2469790232
11843,0,0,154,406533,499,1,28175,0,7.393,3811,0,0,0,107,17,0,0,0,1,12,0,0,human,paulinhogogo,122766650
29910,0,0,6292,6222,903,1,18571,1,8.743,2124,0,0,0,142,21,0,0,0,2,13,0,0,human,CarlyELehwald,2843685004
28473,0,0,9682,16576,444,1,92247,1,19.028,4848,0,0,0,159,22,1,0,2,2,9,0,0,human,davelucas,5966412
28930,1,0,2145,1,0,0,2940,0,0.883,3330,1,1,1,0,0,0,0,0,0,14,1,0,bot,Oneandthesame1,331552342
19143,1,0,1484,24,118,1,2142,0,0.616,3477,1,1,1,0,0,0,0,0,0,12,2,0,bot,KTFARSENAL31,250481717
5905,1,0,792,5,112,0,1971,0,2.959,666,0,0,0,13,2,0,0,0,0,15,1,0,bot,TweetFreeAmeri1,1054545282468331520
7978,0,0,14,25,0,0,201,0,0.051,3962,1,0,1,0,0,0,0,0,0,10,2,0,human,Jessecat77,82107287
5706,1,0,2239,11,46,0,3167,0,1.091,2904,1,1,1,0,0,0,0,0,0,14,2,0,bot,MicheleCella94,805084946
7603,1,0,24789,192,340,1,6843,0,2.769,2471,0,0,0,150,21,0,0,0,1,11,2,0,human,kathybing56,2178994685
13118,1,0,65,1319412,145,0,6272,1,1.712,3664,0,1,0,58,5,0,0,0,0,9,0,0,human,skullhong,175729029
16822,1,0,13414,194,432,1,22011,0,6.262,3515,0,0,0,18,3,0,0,2,0,14,1,1,human,cookie_klimek9,233688382
14090,1,0,10307,126,393,1,5943,0,3.582,1659,0,0,0,67,15,0,1,0,0,11,0,0,human,inkyoctopod,4872045640
8215,0,0,0,2810600,101,0,1412,1,0.389,3628,1,0,1,0,0,0,0,0,0,14,0,1,human,pablo_zabaleta,189850197
22868,0,0,2992,235,350,0,20036,0,4.725,4240,0,1,0,32,6,0,0,0,0,11,0,0,human,ikarichelle,18772411
8168,1,0,2331,212,403,0,386,0,0.178,2163,0,0,0,60,9,0,0,0,0,9,1,0,human,plan2grow,2813649097
27481,1,0,2319,36,250,1,3217,0,0.774,4155,1,0,1,0,0,0,0,0,0,6,0,0,bot,Primev,28766098
36003,1,0,2146,6,0,0,3046,0,1.75,1741,1,1,1,0,0,0,0,0,0,11,0,0,bot,ginnieburke,4213430234
33588,1,0,101,5,0,0,21,0,0.006,3557,0,1,0,47,6,0,0,2,0,14,0,0,bot,cariocadosamba,218600498
24713,1,0,1451,16,28,0,2085,0,1.16,1798,0,1,0,11,1,0,0,0,0,6,0,0,bot,zwqwqw,3587875812
17658,0,0,1044,2,394,1,1426,0,0.418,3413,1,0,1,0,0,0,0,0,0,9,3,0,bot,davyhe121,282977536
24973,0,0,919,32,345,1,819,0,0.247,3316,0,0,0,59,11,0,0,0,0,11,0,0,human,PinedaElbaB,339913523
22289,1,0,16623,495,541,1,7264,0,3.265,2225,0,0,0,39,3,0,1,0,0,9,0,0,human,jxlizette,2653053512
11649,0,0,7593,858,699,1,4623,0,2.204,2098,0,0,0,120,19,0,6,2,0,14,0,1,human,katie_harmoney,2905685946
24945,0,0,614,7,0,0,801,0,0.252,3178,1,0,1,0,0,0,0,0,0,8,0,0,bot,eriolroy,430353019
14350,1,0,18,0,0,0,107,0,0.093,1154,0,1,0,106,18,0,0,6,0,15,2,0,bot,cexghbgzmuncx21,877493340027191296
27516,1,0,2,307,1,0,1572,0,1.955,804,0,0,0,134,23,1,0,0,0,8,0,1,bot,wavy_bgs,1004613106796859392
15265,1,0,5750,123,793,0,13045,0,8.504,1534,0,0,0,115,15,0,0,0,0,7,1,0,human,TheLsb1,739974872537784321
733,0,0,10767,16645,2523,1,24700,0,9.771,2528,0,0,0,159,22,0,1,0,0,14,2,0,human,PeoplesCourt79,1871975262
35812,0,0,633,1,0,0,947,0,0.26,3639,1,0,1,0,0,0,0,0,0,8,2,0,bot,SAMiiB00,185848434
12193,1,0,146,1,0,0,261,0,0.233,1118,0,1,0,14,1,0,0,0,0,14,4,0,human,jhplxhrapd1727,890850365553360896
2442,1,0,346,0,20,0,346,0,0.245,1412,0,0,0,85,11,0,0,0,0,13,2,0,bot,dmitriyshct28,784270722986221568
23008,1,0,995,7,19,0,1663,0,1.186,1402,1,1,1,0,0,0,0,0,0,12,0,3,human,Ann___Taylor,787658151776616448
10202,1,0,1033,9,57,1,1477,0,0.465,3174,1,1,1,0,0,0,0,0,0,14,0,0,bot,dianshimingong,433396150
10782,1,0,2534,28,0,0,3441,0,0.834,4127,0,0,0,38,3,1,0,0,0,4,0,0,bot,nirn,37038280
7835,0,0,2126,851,365,1,315220,0,92.712,3400,0,0,0,149,26,0,0,0,0,13,0,0,bot,WillyWarbucks,289756627
18069,1,0,20761,761,436,1,20938,0,6.739,3107,1,0,1,0,0,0,0,0,0,9,1,0,human,DylanPal5,493744006
13958,0,0,1021,25,0,0,1499,0,0.386,3879,1,1,1,0,0,0,0,0,0,8,2,0,bot,Pauuuu16,101810382
30721,1,0,15428,491246,600,1,1251,1,0.315,3977,0,1,0,43,9,0,0,0,0,10,0,0,human,AnnaKFaris,78071252
22151,1,0,2803,592,175,1,6891,0,1.844,3737,0,0,0,64,12,0,0,0,0,14,0,1,bot,bankbank_juice,148528842
1181,0,0,370,1787267,103,0,1800,1,0.399,4506,0,0,0,52,9,0,0,0,1,12,0,0,human,jerrytrainor,14425825
17264,0,0,4,79763,95908,0,11317,0,3.222,3512,0,0,0,135,24,0,0,4,0,8,2,0,human,moment47,235002421
28188,1,0,652,8,59,0,845,0,0.325,2603,0,0,0,138,20,0,0,0,0,10,4,0,bot,krisak1667,1567556180
29700,1,0,40665,588,1,1,27624,0,11.076,2494,1,1,1,0,0,0,0,0,0,12,0,1,human,_AyeYoBlanco,1977559646
31859,1,0,1095,6,75,0,1523,0,0.713,2135,1,1,1,0,0,0,0,0,0,12,0,0,bot,SchulloSofia,2830853607
9138,0,0,919,73,315,1,459,0,0.525,874,0,0,0,142,21,1,0,2,0,9,0,0,human,josedesuu,979167878665584640
5904,0,0,59,1683624,466,1,2492,1,0.685,3639,0,0,0,79,11,2,0,0,0,12,2,0,human,stevesmith49,185902260
20379,1,0,1427,52,119,1,1963,0,0.522,3759,0,0,0,131,20,0,3,0,0,8,0,0,bot,mihirksh,140127631
29323,1,0,2383,23,0,1,3379,0,1.372,2463,1,1,1,0,0,0,0,0,0,11,0,0,bot,MaroneyNina,2206933058
29938,0,0,7957,1976,1387,1,10526,1,2.571,4094,0,0,0,158,29,3,0,2,0,14,0,0,human,BrendanKirbyTV,44511572
2343,0,0,14696,1982,3711,1,114224,0,27.577,4142,0,0,0,159,24,0,3,0,2,9,0,0,human,kwillsmom,32259939
1410,1,0,1212,363,1278,0,3299,0,0.794,4156,0,0,0,134,18,0,0,0,0,14,0,0,bot,nataliegalpern,28321195
1707,0,0,3264,248,0,0,7682,0,2.6,2955,1,1,1,0,0,0,0,0,0,12,0,2,bot,yeseniaaxo__,637021745
29457,1,0,18163,35218,10,1,12762,1,7.166,1781,0,0,0,67,9,1,0,3,1,9,0,0,bot,THISISTCO,3852674021
15366,0,0,19031,3378,3255,0,41910,0,9.945,4214,0,1,0,154,13,11,1,0,0,14,0,0,human,bunnyboyplayex,20031160
6987,0,0,45188,12038,1466,0,58344,0,14.804,3941,0,0,0,160,21,2,1,5,1,13,0,1,human,rlynn_solomon,87343277
8290,1,0,1332,6,11,0,1332,0,0.911,1462,0,1,0,43,7,0,0,0,0,15,3,0,bot,kulakoviulii192,765932688435994624
4815,1,0,1275,17,35,0,1858,0,0.631,2943,1,1,1,0,0,0,0,0,0,11,0,1,bot,StyLe_johan,722765220
11996,1,0,40,0,0,0,257,0,0.222,1159,1,1,1,0,0,0,0,0,0,14,3,0,bot,mktmnxirlnd629,875860498629242884
17029,1,0,4586,957,573,0,15406,0,8.314,1853,0,0,0,76,2,0,0,10,0,13,1,0,human,mirin9kurokun,3289240398
22842,1,0,412,0,0,0,629,0,0.551,1142,0,1,0,10,1,0,0,1,0,10,0,1,bot,diedra_hae,882049199684104192
6808,1,0,5,4309105,116,0,1646,1,0.495,3322,0,0,0,91,13,1,0,0,0,13,0,0,human,JerrySeinfeld,336116660
30662,1,0,0,901,1,0,9674,0,8.116,1192,0,0,0,116,23,0,0,0,0,10,0,1,bot,Rothko_Bot,863816790857715712
20175,0,0,8540,19249,490,1,21003,1,5.102,4117,0,0,0,114,19,1,0,4,0,8,0,1,human,peter_tl,39462935
31018,0,0,530,122501,661,0,2668,1,0.644,4145,0,0,0,86,16,1,0,3,0,10,0,0,human,MikeDeWine,30887511
6308,1,0,12617,127,106,1,796,0,0.451,1764,1,0,1,0,0,0,0,0,0,10,3,2,human,Oscar__713,3960778514
29187,0,0,29959,63133,2345,0,100239,1,24.395,4109,0,0,0,160,23,3,0,0,0,14,0,1,human,miss_mcinerney,41098406
14345,0,0,106100,18472,2600,0,40507,1,11.879,3410,0,0,0,160,20,0,1,0,0,11,0,0,human,MorganicInk,284265377
19133,1,0,1399,16,303,0,2125,0,1.654,1285,1,1,1,0,0,0,0,0,0,12,0,1,bot,etched_image,830218341893693440
27851,0,0,1463,2889,3728,1,23267,0,5.717,4070,0,0,0,20,2,0,0,0,0,6,0,0,human,Anthug,51575260
25430,1,0,94241,1432,348,0,12274,0,5.07,2421,0,1,0,29,4,0,0,0,0,10,0,0,human,dancemomjo,2272442282
23774,1,0,1266,5,16,1,1945,0,0.6,3239,1,1,1,0,0,0,0,0,0,9,3,0,bot,soluck332,386042500
6123,0,0,3016,46349,4483,1,19720,1,4.75,4152,0,0,0,160,22,0,0,0,0,12,0,0,human,blakemcgrath,29403856
11010,0,0,11194,1019726,1363,1,6970,1,2.512,2775,0,0,1,23,1,0,0,1,0,6,0,0,human,louane,1084305312
26205,1,0,70,0,0,0,166,0,0.115,1445,0,1,0,146,26,0,0,4,0,14,0,0,human,FelicitasEskro,772346681513959424
12223,0,0,3471,1115,605,1,4513,0,1.157,3900,0,0,0,137,17,3,0,0,1,15,0,0,human,shethwalamitesh,96817116
30054,0,0,2679,471,381,1,5921,0,2.419,2448,0,0,0,85,17,0,0,0,0,14,0,0,human,HSorensenFargo,2231841841
9787,0,0,1503,26457174,533,1,21578,1,5.087,4242,0,1,0,20,2,0,0,0,0,14,0,0,human,priyankachopra,18681139
24400,0,0,3257,878037,969,0,8092,1,1.977,4094,0,0,0,78,11,1,0,6,0,12,0,0,human,taylormomsen,44473103
18990,0,0,283,782841,97,0,25720,1,6.991,3679,0,0,0,122,16,0,0,2,0,13,0,0,human,RealKingRegal,170002596
30485,0,0,2513,39,17,1,3651,0,0.906,4030,1,0,1,0,0,0,0,0,0,15,0,0,bot,JohnBerryDesign,63651828
20357,0,0,53918,682,934,1,49002,0,13.559,3614,0,0,0,99,5,0,5,0,0,11,0,0,human,StuffiEnjoy,195439858
8563,1,0,243,15,0,0,39,0,0.018,2149,0,1,0,55,7,0,0,1,0,11,0,0,bot,shakingbone,2796874588
12678,1,0,1229,13,0,0,1229,0,0.84,1463,0,1,0,31,3,0,0,0,0,14,0,0,bot,KovalyovKronid,765836631312130048
10659,0,0,1671,751268,2192,1,16877,1,5.02,3362,0,0,1,23,1,0,0,2,0,8,0,0,human,TheDappy,311502203
17885,0,0,3861,20582,2761,0,24695,1,7.084,3486,0,0,0,140,20,1,2,0,0,11,0,2,human,faiza_n_ali,246108164
30487,0,0,2001,19,56,0,2847,0,0.908,3135,0,0,0,25,2,0,0,0,0,14,0,1,bot,blond_danielle,467877879
15830,1,0,2458,11,0,0,3222,0,0.997,3232,1,1,1,0,0,0,0,0,0,13,0,0,bot,FalawnClayson,390181734
8642,0,0,8236,330,507,1,11460,0,3.699,3098,0,0,0,54,10,0,0,0,0,12,0,0,human,thenuggetron,502328667
22411,1,0,5,1291,1450,1,10354,0,4.117,2515,0,1,0,58,7,0,0,0,0,7,0,0,bot,nussdos,1916953958
11159,1,0,54859,379,579,0,10876,0,5.521,1970,0,1,0,8,2,0,0,0,0,8,4,0,human,melz2121,3114087336
34527,1,0,150,6,0,0,24,0,0.009,2626,0,1,0,67,9,0,0,3,0,6,0,0,bot,Bjarru,1499967024
5973,0,0,2204,196,295,0,3405,0,0.853,3992,1,0,1,0,0,0,0,0,0,13,0,0,bot,thechaosagent,73967313
12188,0,0,6841,25561460,55581,1,14947,1,4.598,3251,1,1,1,0,0,0,0,0,0,11,0,0,human,ShawnMendes,379408088
2938,0,0,23755,3055,4541,1,23825,0,6.239,3819,0,0,0,160,30,0,1,3,0,10,2,0,bot,richardd57,120344682
27731,1,0,2435,32,323,0,965,0,0.297,3246,0,1,0,155,26,0,0,3,0,9,0,0,human,Moondogtk,382400142
12744,0,0,1304,1923929,550,1,5430,1,1.332,4077,0,0,0,17,1,0,1,0,0,11,0,0,human,DarrenCriss,49110693
7555,1,0,6400,894482,852,1,2069,1,0.631,3281,0,1,0,103,22,0,0,0,0,14,0,0,human,SonnyBWilliams,361812003
18098,0,0,9985,199586,313,1,21652,1,5.3,4085,0,0,0,109,15,7,0,0,0,7,0,0,human,iammony,46788715
30766,1,0,165,12,0,0,38,0,0.009,4107,0,1,0,61,8,0,0,1,0,8,0,0,bot,ImFadoua,41633598
10237,1,0,122,10,26,0,267,0,0.095,2824,1,1,1,0,0,0,0,0,0,15,0,0,bot,GisellekcKarina,968432294
28814,0,0,3215,813,2428,1,6699,0,2.023,3312,0,0,0,113,17,0,1,3,0,8,2,0,human,chizzy73,342299536
16073,1,0,14,0,0,0,138,0,0.119,1155,1,1,1,0,0,0,0,0,0,12,4,0,bot,xtihkibi2619,877379279331270657
24438,0,0,4675,124,662,1,3179,0,0.76,4184,0,0,0,67,10,0,0,0,0,7,2,0,human,driaJ03,22977574
3369,0,0,10377,49375,762,1,12905,0,2.908,4438,0,0,0,103,12,3,0,0,0,4,0,0,human,teft,15227979
22376,0,0,1956,42,0,0,3591,0,0.983,3654,0,0,0,45,10,0,0,1,0,10,0,0,human,soyelfuego,179725488
23278,0,0,2857,17,100,0,2829,0,1.093,2588,0,0,0,17,3,0,0,0,0,11,0,0,bot,AllanSnorky,1603960148
15562,0,0,33941,10586,6787,1,19701,0,4.696,4195,0,0,0,111,21,1,0,6,0,12,0,0,human,YaFavHomieJR,21605503
34565,1,0,8,202,365,0,96,0,0.093,1030,0,0,0,149,18,0,4,2,0,13,0,1,bot,comyusho_game,922632380619177984
19462,1,1,2193,0,43,0,2195,0,0.763,2875,0,0,0,108,23,0,0,0,0,15,4,0,bot,odelindadi53h22,862590090
25369,0,0,11927,25167,1179,0,9848,1,2.366,4162,0,0,0,63,10,0,0,0,0,15,0,0,human,JackieJohnsonLA,27178513
8351,1,0,989,20,25,0,1435,0,0.343,4183,1,0,1,0,0,0,0,0,0,7,0,0,bot,skyford,23127614
599,0,0,1466,456,443,1,4042,0,0.967,4178,0,0,0,44,6,0,0,0,0,13,0,0,human,justindmorris,23859014
35464,0,0,67,49,0,1,474,0,0.12,3947,0,1,0,56,11,0,0,0,0,15,2,0,human,DaniellaPlaza12,85969217
33956,0,0,926,1664121,245,1,4104,1,1.385,2963,0,1,0,69,7,0,0,1,0,13,2,1,human,bonucci_leo19,630169165
27032,1,0,82,5,128,0,18,0,0.011,1590,0,1,0,54,8,0,0,1,1,9,3,0,bot,jinhua369,719731687228338176
17443,0,0,2,31292,23619,0,60299,0,19.712,3059,0,0,0,28,6,0,0,0,0,15,0,0,bot,caperucitazorra,544333505
29593,1,0,30362,533,995,1,11276,0,3.573,3156,0,0,0,150,28,0,0,0,0,10,0,0,human,sheriidunn,448997280
512,0,0,3302,1289138,664,1,26842,1,7.956,3374,0,0,0,91,11,0,0,12,0,13,0,1,human,Badr_Alzidane,304352481
33447,0,0,72,6,0,0,132,0,0.053,2484,0,0,0,56,9,0,0,0,1,9,0,0,human,schooltwi,2161348793
7010,0,0,7185,1012,369,1,29360,0,11.297,2599,0,0,0,14,2,0,0,0,0,11,0,1,human,AxelVieira_,1576583414
36016,1,0,1476,15,0,1,2122,0,0.51,4158,1,0,1,0,0,0,0,0,0,9,2,0,bot,hfxmike85,28039186
10134,1,0,531,26,0,0,96,0,0.07,1379,0,1,0,54,8,0,0,1,1,8,2,0,bot,Kamipo46,796022323212062720
16474,1,0,438,28,55,0,647,0,0.144,4478,0,1,0,46,9,0,0,0,0,10,0,0,bot,DrewKrehel,14796031
28882,1,0,5009,183,564,1,3732,0,0.886,4213,0,0,0,88,17,0,0,0,0,9,0,0,human,BobbyPJam,20124984
34993,0,0,2467,411,908,1,11922,0,3.474,3432,1,1,1,0,0,0,0,0,0,14,0,0,bot,lopezangelicaa,273136594
14255,0,0,23311,1051,1349,0,20303,0,11.838,1715,0,0,0,129,10,0,0,0,0,12,0,0,bot,AlbertMSaade,4416178481
22164,0,0,1290,1250,674,1,5575,0,2.362,2360,0,0,0,124,20,0,0,2,1,14,0,0,bot,BrendanOConnel,2381471500
34091,1,0,983,14,886,0,1547,0,0.476,3251,1,1,1,0,0,0,0,0,0,13,2,0,bot,OmarMorales24,379560435
15239,1,0,317,254,539,0,124,0,0.046,2680,0,1,0,124,12,0,1,1,0,14,0,2,human,Sara_Ash_Brown,1360372627
12617,0,0,2486,227,474,1,23133,0,6.742,3431,0,1,0,52,10,0,0,1,0,14,0,1,bot,School_BoyQuan,273767254
21941,1,0,94609,24728,2404,1,36550,1,13.296,2749,0,1,0,101,11,0,2,0,0,14,0,1,human,j_smithcameron,1158306108
24116,1,0,529,7,38,0,466,0,0.143,3267,1,1,1,0,0,0,0,0,0,13,0,0,bot,DianeStoltman,370316368
2825,1,0,252,4,0,0,50,0,0.021,2436,0,1,0,39,5,0,0,1,0,8,0,0,bot,eydjdjdd,2230865219
11753,1,0,0,749,810,0,33839,0,14.777,2290,1,1,1,0,0,0,0,0,0,11,0,0,bot,kendouippon,2492023416
18396,0,0,6462,9967,634,1,4143,1,1.495,2772,0,0,0,129,18,0,0,2,0,15,0,0,human,FrenchEmbassyUg,1092221005
11881,0,0,158,46,0,0,3853,0,0.943,4085,0,0,0,51,8,0,0,0,0,13,0,0,human,viceandvanity,46745190
36993,0,0,3597,536,1333,0,2061,0,2.915,707,0,0,0,145,19,1,0,0,0,12,0,0,human,vcfawritepub,1039525388265897985
15544,0,0,6,771637,32,1,1257,1,0.265,4751,1,0,1,0,0,0,0,0,0,5,0,0,human,bjork,8236062
17131,1,0,29,6,0,1,23,0,0.006,3542,0,0,0,73,17,0,0,0,0,12,0,0,bot,sheriffjamie,223991351
32324,0,0,0,1054,0,0,42304,0,17.956,2356,1,0,1,0,0,0,0,0,0,10,0,1,bot,akuyo_dame,2378134129
11105,0,0,160199,853,904,0,55151,0,16.855,3272,0,0,0,50,9,0,0,0,0,15,4,2,human,I_Am_Legend1976,367342111
37236,1,0,101182,2223,3277,0,93547,0,71.464,1309,0,0,0,158,25,0,1,0,0,10,1,0,bot,Teddysmom1,821562262976602114
32115,0,0,310,268154,96,1,12067,0,2.688,4490,0,0,0,133,17,2,0,18,0,14,0,0,human,ViviRivasPlata,14642389
32745,0,0,1121,62,206,1,1664,0,0.493,3378,0,1,0,96,14,0,0,0,2,8,0,1,human,em_boots,302218607
2315,1,0,937,4,24,0,1447,0,0.632,2291,1,1,1,0,0,0,0,0,0,9,9,0,bot,373551916,2490646212
30988,0,0,1269,12,557,0,1949,0,0.465,4187,1,0,1,0,0,0,0,0,0,7,0,0,bot,zukizhu,22498583
10758,0,0,41368,536,852,0,7347,0,2.396,3067,0,0,0,60,10,0,0,0,4,9,2,0,human,sgraham72,537823836
35913,0,0,121733,2227,3908,0,182160,0,43.465,4191,1,1,1,0,0,0,0,0,0,7,0,0,human,ceranto,22009205
10168,0,0,4452,81414,94755,0,235607,0,60.833,3873,0,1,0,125,23,0,0,0,0,11,0,0,bot,dianaguelec,103618826
33656,0,0,6099,232,598,0,2504,0,3.072,815,0,0,0,148,21,0,1,0,0,11,0,1,human,AEAndersen_,1000410554064830470
186,1,0,25,0,0,0,197,0,0.171,1155,0,1,0,140,31,0,0,0,0,15,2,0,bot,pqcwgttzhfhjd31,877343511858692096
24500,0,0,12015,7420,905,1,12590,0,3.367,3739,0,0,0,145,19,3,0,0,0,8,0,0,human,eramirem,147758495
5489,0,0,12778,730,635,0,19407,0,4.281,4533,0,0,0,57,8,0,0,4,0,8,0,0,human,kotaotan,14194735
21659,1,0,170,2,0,0,24,0,0.013,1797,0,1,0,41,5,0,0,2,0,10,0,0,bot,emmasoltim,3695071455
34459,0,0,166,3774588,0,0,570,1,0.146,3903,0,0,0,51,7,0,0,0,1,8,0,0,human,MuratBoz,96185337
3689,1,0,1594,16,0,0,2378,0,0.637,3734,0,0,0,31,4,0,0,1,0,10,0,0,bot,supertorin,149710212
8569,0,0,376,1439860,160,0,1744,1,0.533,3270,0,0,0,127,13,1,0,1,0,15,2,0,human,santiagoarias13,368634756
4596,1,0,0,96,0,0,1533,0,2.041,751,0,1,0,108,15,2,0,0,1,14,0,0,bot,choosetoaccept,1023609035596197888
7309,0,0,2243,150,0,0,3490,0,0.881,3962,0,1,0,76,16,0,0,0,0,6,0,0,bot,biajbb,82102551
13346,0,0,3798,10461,2595,0,10460,1,3.214,3255,0,0,0,101,15,1,0,0,0,8,0,0,human,ZiaWeise,376795126
34228,1,0,2466,23,2,0,2855,0,1.025,2785,1,1,1,0,0,0,0,0,0,10,0,1,bot,mia_haller,1056679422
9506,1,0,785,822482,204,0,10474,1,2.518,4160,0,0,0,42,9,0,0,0,0,11,0,0,human,ChelseaKane,27592116
25432,0,0,8612,22100,337,1,10166,1,2.273,4472,0,0,0,67,10,0,0,0,0,8,0,0,human,ucmerced,14858160
20024,1,0,3299,148,332,0,4605,0,1.932,2383,1,1,1,0,0,0,0,0,0,7,0,1,bot,iTumma_,2331911200
18297,0,0,3390,141,137,1,1829,0,0.44,4155,0,0,0,101,20,0,0,0,0,11,0,0,human,gfullenlove,28702045
20051,1,0,6,17,0,1,838,0,0.231,3624,0,0,0,9,1,0,0,0,0,6,3,1,human,hs_425,191767781
32894,0,0,1028,10016496,286,1,5017,1,1.379,3639,0,0,0,109,16,1,0,4,0,13,1,0,human,cesc4official,185827887
9686,1,0,191,19,194,0,44,0,0.044,1007,0,0,0,65,10,0,0,2,1,13,0,2,bot,_Magazinlife_,930763868409909248
33117,1,0,34042,807,875,0,2104,0,0.705,2983,1,1,1,0,0,0,0,0,0,14,0,0,human,RubyBechetCrow,612075496
11259,1,0,186,11,0,0,40,0,0.014,2840,0,1,0,60,8,0,0,1,0,13,1,0,bot,mayurnashine4,934622743
29108,1,0,134,0,0,0,261,0,0.181,1445,0,1,0,72,15,0,0,0,1,15,0,1,human,Emmanuel_Trojan,772104097180819456
37140,1,0,65,58,518,0,361,0,0.087,4143,0,0,0,117,18,0,0,0,0,8,0,0,human,Makadeli,31455275
18601,0,0,12353,303,1203,0,22044,0,5.16,4272,0,0,0,99,18,0,0,0,0,6,0,0,human,RPBren,17956397
25510,1,0,69,0,0,0,168,0,0.116,1445,0,1,0,141,28,0,0,0,0,12,0,1,human,Rocker_Arney,772347026805850112
7088,0,0,12,158,0,0,208,0,0.052,4002,0,1,0,96,16,1,0,0,0,14,0,0,human,BandaOtherside,71339142
11511,0,0,1194,142,510,1,2214,0,0.532,4164,0,0,0,160,26,0,0,0,0,13,2,0,human,SassyRhodes06,26557537
37325,0,0,1072,19,97,0,1168,0,0.382,3056,0,1,0,48,6,0,0,0,0,12,0,0,bot,falconheimer,546831649
24979,1,0,1142,17,40,0,1495,0,1.003,1491,1,1,1,0,0,0,0,0,0,11,0,0,bot,Nidanfaisal,755502250273992704
33662,0,0,20250,73026,3207,1,13433,1,3.247,4137,0,0,0,151,33,0,0,1,0,7,0,0,human,staerox,34051652
22549,0,0,6514,772,715,1,32451,0,10.227,3173,0,0,0,43,7,1,0,0,0,8,0,1,human,a_guidaa,434268450
2023,1,0,918,52,160,1,1332,0,0.544,2448,1,1,1,0,0,0,0,0,0,12,0,1,bot,shann_bihani,2231383717
31936,1,0,52,0,0,0,121,0,0.084,1444,0,1,0,20,6,0,0,0,1,15,0,0,human,DragonMinhgraha,772527449045397506
11888,1,0,37643,242335,3363,1,19023,1,4.612,4125,0,0,0,88,13,0,0,0,0,9,0,0,human,arrington,37570179
3022,0,0,26382,4747,662,1,18558,0,4.503,4121,0,0,0,104,12,2,0,2,0,14,0,1,human,DonnieTillman_,38556290
29369,0,0,19653,1202,1689,1,14748,0,4.701,3137,0,0,0,159,26,0,2,0,0,12,2,0,human,NRica40Photo,466035041
20680,1,0,2361,46,0,0,2109,0,0.543,3882,0,0,0,32,5,0,0,0,0,9,4,0,human,JMIAH1018,101070357
35863,1,0,4676,440,439,0,7318,0,2.436,3004,0,0,0,68,14,0,0,2,0,6,2,1,human,KFR13_,592696259
16393,0,0,133,2738893,0,0,472,1,0.144,3289,0,0,0,39,2,1,0,0,0,8,0,0,human,imjadeja,356893311
35502,0,0,13727,5569,3384,1,21361,0,5.019,4256,0,0,0,104,17,0,0,0,0,12,0,1,human,Jenn_Tisdale,18336278
6775,1,0,3028,197,268,0,2254,0,1.011,2229,1,1,1,0,0,0,0,0,0,15,0,1,human,breeanna_garcia,2706507917
25300,0,0,2274,20,0,0,3181,0,1.019,3123,0,0,0,47,6,0,0,1,0,13,0,1,bot,Anna_lovekpop,478852184
17326,0,0,3885,208,1013,1,8392,0,2.031,4131,1,0,1,0,0,0,0,0,0,11,0,0,human,michaelused,35773357
15857,0,0,2,4210,1,1,3104,0,1.067,2910,0,1,0,150,7,0,0,2,0,14,2,0,human,tsum0richisat0,793097244
18187,0,0,219,6,0,0,351,0,0.104,3389,1,0,1,0,0,0,0,0,0,10,0,0,bot,TatePastor,295826050
30698,0,0,2073,79,317,0,6593,0,1.884,3500,0,1,0,124,18,0,0,0,0,9,0,2,human,A_L_ebear,240076103
12600,0,0,5588,2484203,1630,1,29441,1,7.715,3816,0,0,0,53,8,0,0,1,0,9,0,0,human,yunamusic,121199319
35280,1,1,8,3,0,0,13,0,0.004,3113,1,1,1,0,0,0,0,0,0,14,1,0,bot,conormccarthy8,488096774
16077,1,0,336,30,307,0,77,0,0.022,3440,0,1,0,57,7,0,0,1,0,11,0,0,bot,huangchenxi,268810817
12236,0,0,36860,81500,961,1,77937,1,21.966,3548,0,1,0,37,4,0,0,0,0,11,0,0,human,ufukcoskunn,221859928
9290,0,0,3547,231674,688,0,995,1,0.245,4069,1,0,1,0,0,0,0,0,0,7,0,0,human,Woodkid,51707796
12569,0,0,503,1527,1600,0,9945,1,2.542,3913,0,0,0,140,17,2,0,2,1,14,0,0,human,DJEricMichaels,93936154
26601,0,0,36,2983176,1,1,758,1,0.185,4099,0,1,0,43,7,0,1,1,0,10,0,0,human,iambohemia,43440033
15654,1,0,12267,1370367,432,1,6446,1,2.758,2337,0,1,0,88,8,0,0,0,0,11,2,0,human,KamiAkmal23,2439098062
25963,0,0,6671,56,473,1,8227,0,2.107,3905,1,1,1,0,0,0,0,0,0,9,0,0,bot,piminlove,95864498
5155,1,0,2591,27,0,0,3411,0,2.58,1322,1,1,1,0,0,0,0,0,0,13,1,0,bot,prayingjimin1,816619917659095040
36471,0,0,69775,1335,1006,1,9549,0,2.304,4144,0,0,0,146,22,2,2,5,0,12,0,0,human,ElissaDickey,31187986
